
1, 194, 100,  230, 154, 335, 57, 364, 103
2, 178, 75,  230, 151, 327, 58, 384, 139
3, 197, 102,  254, 202, 335, 57, 389, 156
4, 191, 103,  235, 169, 337, 51, 374, 118
5, 206, 123,  236, 174, 332, 61, 385, 137
6, 200, 105,  240, 174, 335, 53, 383, 135
7, 197, 105,  238, 174, 336, 53, 382, 139
8, 197, 105,  236, 175, 341, 52, 379, 138
9, 195, 101,  262, 203, 336, 56, 385, 139
10, 195, 105,  246, 187, 339, 53, 382, 138
11, 197, 103,  238, 174, 332, 59, 384, 138
12, 193, 102,  255, 203, 337, 54, 381, 139
13, 179, 85,  233, 162, 334, 57, 383, 142


14, 190, 99,  235, 173, 339, 36, 387, 111
15, 184, 95,  235, 176, 340, 59, 386, 141
16, 193, 109,  243, 190, 329, 61, 388, 141
17, 195, 106,  261, 203, 332, 59, 380, 133
18, 211, 126,  265, 214, 350, 75, 402, 151
19, 199, 106,  267, 216, 336, 62, 399, 161
20, 198, 106,  260, 204, 337, 59, 392, 152
21, 197, 106,  263, 205, 337, 60, 389, 146
22, 209, 124,  267, 209, 334, 59, 385, 139
23, 204, 126,  263, 211, 336, 54, 384, 142
24, 206, 129,  247, 189, 336, 56, 385, 137
25, 199, 103,  240, 168, 340, 56, 390, 139
26, 196, 105,  250, 188, 338, 55, 391, 135
27, 193, 103,  235, 172, 342, 54, 383, 136
28, 200, 125,  255, 213, 351, 71, 394, 150
29, 196, 103,  256, 199, 351, 71, 400, 163
30, 197, 103,  260, 198, 343, 61, 392, 144
31, 194, 103,  248, 186, 339, 48, 372, 109
32, 190, 99,  258, 194, 341, 50, 394, 135
33, 204, 116,  233, 167, 336, 51, 383, 122
34, 194, 96,  233, 162, 333, 47, 374, 125
35, 189, 98,  236, 179, 335, 47, 380, 133
36, 198, 112,  236, 187, 352, 71, 389, 143
37, 207, 112,  264, 204, 351, 60, 403, 135


38, 207, 123,  265, 188, 349, 73, 406, 155
39, 208, 118,  268, 192, 358, 76, 416, 152
40, 199, 112,  262, 206, 346, 59, 403, 150
41, 182, 86,  249, 177, 350, 62, 403, 154
42, 168, 55,  223, 165, 338, 22, 381, 122
43, 210, 125,  257, 229, 356, 71, 395, 160
44, 178, 91,  227, 185, 348, 61, 383, 160
45, 174, 70,  214, 181, 342, 62, 377, 163
46, 179, 86,  221, 177, 347, 87, 380, 160
47, 182, 78,  200, 151, 345, 62, 367, 135
48, 173, 84,  217, 193, 340, 46, 383, 147
49, 172, 62,  210, 167, 342, 39, 375, 153
50, 174, 76,  226, 202, 344, 43, 377, 148
51, 166, 56,  199, 141, 341, 51, 367, 133
52, 170, 54,  195, 117, 336, 26, 358, 118
53, 175, 71,  200, 181, 346, 52, 366, 170
54, 165, 48,  199, 167, 344, 31, 370, 133
55, 164, 66,  203, 158, 340, 44, 370, 144
56, 171, 62,  194, 153, 343, 26, 367, 116
57, 169, 41,  201, 151, 341, 40, 377, 141
58, 167, 42,  195, 106, 342, 29, 369, 120
59, 167, 41,  204, 170, 340, 33, 364, 143
60, 178, 75,  217, 190, 346, 51, 373, 139
61, 171, 68,  203, 145, 343, 39, 372, 135
62, 176, 65,  217, 187, 348, 71, 379, 177
63, 178, 76,  217, 186, 354, 59, 390, 155
64, 184, 77,  231, 211, 353, 74, 381, 175
65, 171, 58,  214, 182, 342, 37, 389, 153
66, 170, 58,  207, 189, 351, 45, 382, 165
